
S.No,Flight Number,Date,Origin,Destination,Aircraft,FlightTime,STD,ATD,STA,Unnamed: 10,ATA,Unnamed: 12,Unnamed: 13,STD_mins,ATD_mins,STA_mins,ATA_mins,DepartureDelay,ArrivalDelay,ScheduledHour
,,2025-07-21,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAF),02:27:00,06:05:00,06:29:00,08:45:00,,Landed 8:56 AM,  , ,365,389,525,536.0,24,11.0,6
,,2025-07-20,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAI),02:17:00,06:05:00,06:15:00,08:45:00,,Landed 8:33 AM,  , ,365,375,525,513.0,10,-12.0,6
,,2025-07-19,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAA),02:11:00,06:05:00,06:16:00,08:45:00,,Landed 8:27 AM,  , ,365,376,525,507.0,11,-18.0,6
,,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),01:17:00,06:05:00,06:05:00,07:55:00,,Landed 7:22 AM,  , ,365,365,475,442.0,0,-33.0,6
,,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWS),01:26:00,06:05:00,06:12:00,07:55:00,,Landed 7:38 AM,  , ,365,372,475,458.0,7,-17.0,6
,,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWT),01:25:00,06:05:00,06:14:00,07:55:00,,Landed 7:39 AM,  , ,365,374,475,459.0,9,-16.0,6
,,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),01:21:00,06:05:00,06:16:00,07:55:00,,Landed 7:37 AM,  , ,365,376,475,457.0,11,-18.0,6
,,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCQ),01:19:00,06:05:00,06:03:00,07:55:00,,Landed 7:22 AM,  , ,365,363,475,442.0,-2,-33.0,6
,,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCH),01:20:00,06:05:00,06:06:00,07:55:00,,Landed 7:25 AM,  , ,365,366,475,445.0,1,-30.0,6
,,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCB),01:11:00,06:05:00,06:10:00,07:55:00,,Landed 7:21 AM,  , ,365,370,475,441.0,5,-34.0,6
,,2025-07-25,Mumbai (BOM),Colombo (CMB),A20N (VT-IJZ),02:07:00,06:10:00,06:54:00,08:45:00,,Landed 9:00 AM,  , ,370,414,525,540.0,44,15.0,6
,,2025-07-24,Mumbai (BOM),Colombo (CMB),A20N (VT-ITZ),02:02:00,06:10:00,06:34:00,08:45:00,,Landed 8:36 AM,  , ,370,394,525,516.0,24,-9.0,6
,,2025-07-23,Mumbai (BOM),Colombo (CMB),A20N (VT-IPU),02:06:00,06:10:00,07:31:00,08:45:00,,Landed 9:37 AM,  , ,370,451,525,577.0,81,52.0,6
,,2025-07-22,Mumbai (BOM),Colombo (CMB),A20N (VT-IIQ),02:03:00,06:10:00,07:07:00,08:45:00,,Landed 9:10 AM,  , ,370,427,525,550.0,57,25.0,6
,,2025-07-21,Mumbai (BOM),Colombo (CMB),A20N (VT-IQI),02:02:00,06:10:00,07:14:00,08:45:00,,Landed 9:16 AM,  , ,370,434,525,556.0,64,31.0,6
,,2025-07-20,Mumbai (BOM),Colombo (CMB),A20N (VT-ITZ),02:04:00,06:10:00,06:52:00,08:45:00,,Landed 8:55 AM,  , ,370,412,525,535.0,42,10.0,6
,,2025-07-19,Mumbai (BOM),Colombo (CMB),A20N (VT-IJY),02:20:00,06:10:00,06:28:00,08:45:00,,Landed 8:48 AM,  , ,370,388,525,528.0,18,3.0,6
,,2025-07-25,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),—,06:10:00,06:26:00,07:45:00,,Unknown,  , ,370,386,465,,16,,6
,,2025-07-24,Mumbai (BOM),Nagpur (NAG),A21N (VT-ILC),01:04:00,06:10:00,06:13:00,07:45:00,,Landed 7:17 AM,  , ,370,373,465,437.0,3,-28.0,6
,,2025-07-23,Mumbai (BOM),Nagpur (NAG),A21N (VT-ILC),01:04:00,06:10:00,06:25:00,07:45:00,,Landed 7:29 AM,  , ,370,385,465,449.0,15,-16.0,6
,,2025-07-22,Mumbai (BOM),Nagpur (NAG),A21N (VT-ILC),01:05:00,06:10:00,06:17:00,07:45:00,,Landed 7:22 AM,  , ,370,377,465,442.0,7,-23.0,6
,,2025-07-21,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),01:09:00,06:10:00,06:30:00,07:45:00,,Landed 7:40 AM,  , ,370,390,465,460.0,20,-5.0,6
,,2025-07-20,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),01:06:00,06:10:00,06:09:00,07:45:00,,Landed 7:15 AM,  , ,370,369,465,435.0,-1,-30.0,6
,,2025-07-19,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),01:05:00,06:10:00,06:19:00,07:45:00,,Landed 7:24 AM,  , ,370,379,465,444.0,9,-21.0,6
,,2025-07-25,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),01:41:00,06:15:00,06:27:00,08:25:00,,Landed 8:09 AM,  , ,375,387,505,489.0,12,-16.0,6
,,2025-07-24,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),01:46:00,06:15:00,06:22:00,08:25:00,,Landed 8:08 AM,  , ,375,382,505,488.0,7,-17.0,6
,,2025-07-23,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),01:49:00,06:15:00,06:37:00,08:25:00,,Landed 8:26 AM,  , ,375,397,505,506.0,22,1.0,6
,,2025-07-22,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),01:39:00,06:15:00,06:11:00,08:25:00,,Landed 7:49 AM,  , ,375,371,505,469.0,-4,-36.0,6
,,2025-07-21,Mumbai (BOM),Delhi (DEL),B738 (VT-BAZ),01:38:00,06:15:00,06:13:00,08:25:00,,Landed 7:52 AM,  , ,375,373,505,472.0,-2,-33.0,6
,,2025-07-20,Mumbai (BOM),Delhi (DEL),B738 (VT-BAZ),01:40:00,06:15:00,05:59:00,08:25:00,,Landed 7:39 AM,  , ,375,359,505,459.0,-16,-46.0,6
,,2025-07-19,Mumbai (BOM),Delhi (DEL),B738 (VT-BAZ),01:39:00,06:15:00,06:18:00,08:25:00,,Landed 7:57 AM,  , ,375,378,505,477.0,3,-28.0,6
,,2025-07-25,Mumbai (BOM),Udaipur (UDR),A21N (VT-IMZ),01:03:00,06:15:00,06:31:00,07:40:00,,Landed 7:34 AM,  , ,375,391,460,454.0,16,-6.0,6
,,2025-07-24,Mumbai (BOM),Udaipur (UDR),A21N (VT-IBW),01:07:00,06:15:00,06:24:00,07:40:00,,Landed 7:32 AM,  , ,375,384,460,452.0,9,-8.0,6
,,2025-07-23,Mumbai (BOM),Udaipur (UDR),A21N (VT-ICG),01:02:00,06:15:00,06:33:00,07:40:00,,Landed 7:35 AM,  , ,375,393,460,455.0,18,-5.0,6
,,2025-07-22,Mumbai (BOM),Udaipur (UDR),A21N (VT-ICO),01:00:00,06:15:00,06:22:00,07:40:00,,Landed 7:22 AM,  , ,375,382,460,442.0,7,-18.0,6
,,2025-07-21,Mumbai (BOM),Udaipur (UDR),A21N (VT-IBO),01:05:00,06:15:00,06:31:00,07:40:00,,Landed 7:36 AM,  , ,375,391,460,456.0,16,-4.0,6
,,2025-07-20,Mumbai (BOM),Udaipur (UDR),A21N (VT-IBY),01:05:00,06:15:00,06:21:00,07:40:00,,Landed 7:26 AM,  , ,375,381,460,446.0,6,-14.0,6
,,2025-07-19,Mumbai (BOM),Udaipur (UDR),A21N (VT-ILQ),01:03:00,06:15:00,06:24:00,07:40:00,,Landed 7:27 AM,  , ,375,384,460,447.0,9,-13.0,6
